Market|Product|DRG Parent ID|Payer|Payer Channel|Medical Lives|Access Category|Access|Policy Date|Review Date
Infliximab|Renflexis||CGS Administrators|Medicare Advantage Plan||Renflexis v. Remicade - GI|Parity||
Infliximab|Renflexis||CGS Administrators|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity||
Infliximab|Inflectra||CGS Administrators|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Parity||
Infliximab|Inflectra||CGS Administrators|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Parity||
Infliximab|Inflectra||CGS Administrators|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Parity||
Infliximab|Inflectra||CGS Administrators|Medicare Advantage Plan||Inflectra v. Remicade|Parity||
Infliximab|Renflexis||First Coast Service Options|Medicare Advantage Plan||Renflexis v. Remicade - GI|Parity||
Infliximab|Renflexis||First Coast Service Options|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity||
Infliximab|Inflectra||First Coast Service Options|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Parity||
Infliximab|Inflectra||First Coast Service Options|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Parity||
Infliximab|Inflectra||First Coast Service Options|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Parity||
Infliximab|Inflectra||First Coast Service Options|Medicare Advantage Plan||Inflectra v. Remicade|Parity||
Infliximab|Renflexis||National Government Services|Medicare Advantage Plan||Renflexis v. Remicade - GI|Parity||
Infliximab|Renflexis||National Government Services|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity||
Infliximab|Inflectra||National Government Services|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Parity||
Infliximab|Inflectra||National Government Services|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Parity||
Infliximab|Inflectra||National Government Services|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Parity||
Infliximab|Inflectra||National Government Services|Medicare Advantage Plan||Inflectra v. Remicade|Parity||
Infliximab|Renflexis||Noridian Healthcare Solutions|Medicare Advantage Plan||Renflexis v. Remicade - GI|Parity||
Infliximab|Renflexis||Noridian Healthcare Solutions|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity||
Infliximab|Inflectra||Noridian Healthcare Solutions|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Parity||
Infliximab|Inflectra||Noridian Healthcare Solutions|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Parity||
Infliximab|Inflectra||Noridian Healthcare Solutions|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Parity||
Infliximab|Inflectra||Noridian Healthcare Solutions|Medicare Advantage Plan||Inflectra v. Remicade|Parity||
Infliximab|Renflexis||Novitas Solutions|Medicare Advantage Plan||Renflexis v. Remicade - GI|Parity||
Infliximab|Renflexis||Novitas Solutions|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity||
Infliximab|Inflectra||Novitas Solutions|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Parity||
Infliximab|Inflectra||Novitas Solutions|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Parity||
Infliximab|Inflectra||Novitas Solutions|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Parity||
Infliximab|Inflectra||Novitas Solutions|Medicare Advantage Plan||Inflectra v. Remicade|Parity||
Infliximab|Renflexis||Palmetto GBA|Medicare Advantage Plan||Renflexis v. Remicade - GI|Parity||
Infliximab|Renflexis||Palmetto GBA|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity||
Infliximab|Inflectra||Palmetto GBA|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Parity||
Infliximab|Inflectra||Palmetto GBA|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Parity||
Infliximab|Inflectra||Palmetto GBA|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Parity||
Infliximab|Inflectra||Palmetto GBA|Medicare Advantage Plan||Inflectra v. Remicade|Parity||
Infliximab|Renflexis||Wisconsin Physicians Service Insurance Corporation|Medicare Advantage Plan||Renflexis v. Remicade - GI|Parity||
Infliximab|Renflexis||Wisconsin Physicians Service Insurance Corporation|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity||
Infliximab|Inflectra||Wisconsin Physicians Service Insurance Corporation|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Parity||
Infliximab|Inflectra||Wisconsin Physicians Service Insurance Corporation|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Parity||
Infliximab|Inflectra||Wisconsin Physicians Service Insurance Corporation|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Parity||
Infliximab|Inflectra||Wisconsin Physicians Service Insurance Corporation|Medicare Advantage Plan||Inflectra v. Remicade|Parity||
Infliximab|Renflexis|956|Aetna|Medicare Advantage Plan|1703323|Renflexis v. Remicade - GI|Remicade Preferred|5/24/2019|
Infliximab|Renflexis|956|Aetna|Medicare Advantage Plan|1703323|Renflexis v. Remicade - Rheum|Remicade Preferred|5/24/2019|
